created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Dec 02 11:27:53 +0000 2023;1730911660016321010;"@sami86pilang 🤟❤OPEN PROMOTE❤🤟 PROMOTORE INDIE LABIL #Sami86Genkz   Follow🤟 @sami86pilang   ❤Ganjar Mahfud Cr3ative❤  ❤Reply🔄 #Sami86Genkz   Langsung Tayang Malam🔥🔥🔥";0;0;0;0;in;610002671;1730851394360586287;PupungSuminar;https://twitter.com/PupungSuminar/status/1730911660016321010
Sat Dec 02 11:27:46 +0000 2023;1730911631839019089;"@idrisbue Novel baswedan yg menyelidiki kasus itu udah membantah bahwa pak ganjar ga tetlibat, ga ada bahan lain apa kalau menyerang";0;0;0;0;in;1596424199425257472;1730789172162806048;FendiHe11968994;https://twitter.com/FendiHe11968994/status/1730911631839019089
Sat Dec 02 11:27:43 +0000 2023;1730911619763601503;"Dukungan santri untuk Ganjar Mahfud tidak akan surut #GanjarMahfud2024 #GanjarMahfudSatset #GanjarMahfudM3nang #MMA2023 #Gaza #MMA2023 https://t.co/WFOdodpMbO";0;0;0;0;in;1582552896000110594;1730911619763601503;Official_SAGA_;https://twitter.com/Official_SAGA_/status/1730911619763601503
Sat Dec 02 11:27:30 +0000 2023;1730911562939187550;"@idextratime Lebih percaya pak ganjar jadi presiden hehe";0;0;0;0;in;767338355956682752;1730904796847345964;taniaangllt;https://twitter.com/taniaangllt/status/1730911562939187550
Sat Dec 02 11:27:28 +0000 2023;1730911554739294288;"@liputan6dotcom Ganjar mahfud pilihan ku";0;0;0;0;in;1688329381218066432;1730855091475992915;yasnniii;https://twitter.com/yasnniii/status/1730911554739294288
Sat Dec 02 11:27:25 +0000 2023;1730911543737593993;"Ganjar adalah capres yg sering bikin  kejutan. #GanjarKebhinekaanNKRI https://t.co/CCqeDSLv9U";0;0;0;0;in;1600467192360816640;1730911543737593993;NKRIBerbicara;https://twitter.com/NKRIBerbicara/status/1730911543737593993
Sat Dec 02 11:27:00 +0000 2023;1730911437902807184;"Prabowo Subianto disebut terlalu bergantung pada Presiden Joko widodo. Hal itu menjadi alasan Forum Komunikasi Lintas Pendiri Deklarator dan Kader (FKLPDK) Partai Demokrat belok arah dan mendukung pasangan calon presiden dan calon wakil presiden Ganjar Pranowo-Mahfud MD. (ist) https://t.co/ECvHGK1pte";0;0;1;0;in;124171593;1730911437902807184;tribunnews;https://twitter.com/tribunnews/status/1730911437902807184
Sat Dec 02 11:26:56 +0000 2023;1730911423507890547;"@iwedoji0506 @narkosun support terus pak Ganjar";0;0;0;1;in;1703394476356694016;1730478919072235560;Dimasjohn29;https://twitter.com/Dimasjohn29/status/1730911423507890547
Sat Dec 02 11:26:40 +0000 2023;1730911357070106693;"@liputan6dotcom Alam Ganjar pemuda yang berkualitas dan memikirkan pendidikan di Indonesia, semoga kelak jadi pejabat atau mentri yang memihak rakyat. Siapa dulu Bapaknya calon Presiden yang bijaksana gitu lho";0;0;0;0;in;1694499019635257344;1730784619568803976;aremirwahsi;https://twitter.com/aremirwahsi/status/1730911357070106693
Sat Dec 02 11:26:15 +0000 2023;1730911249876316493;"@hansssolo Gaspol Ganjar Mahfud";0;0;0;0;in;1697422695519207424;1730830703221506199;SadBoy813413360;https://twitter.com/SadBoy813413360/status/1730911249876316493
Sat Dec 02 11:26:14 +0000 2023;1730911248047575254;"@ganjarpranowo Kenapa bajumu hitam Mas Ganjar, lambang duka dan tidak islami, dan kebanyakan pemuka agama berbaju putih, ganti putih dong.. Ngapunten..";0;0;0;0;in;1445154419356495881;1730804230074888561;MustakimPujon;https://twitter.com/MustakimPujon/status/1730911248047575254
